Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,61.599998,64.720001,60.639999,62.700001,62.700001,2591505
2020-01-08,62.840000,65.650002,57.720001,58.230000,58.230000,3719480
2020-01-15,58.200001,59.730000,57.360001,58.340000,58.340000,1246315
2020-01-22,58.259998,58.380001,52.130001,53.480000,53.480000,4281070
2020-01-29,53.970001,54.369999,49.310001,49.610001,49.610001,4251992
2020-02-05,49.509998,52.200001,49.419998,49.939999,49.939999,4461828
2020-02-12,49.959999,52.410000,49.950001,52.049999,52.049999,23798948
2020-02-19,52.119999,54.500000,49.689999,49.900002,49.900002,3823994
2020-02-26,50.080002,50.439999,43.320000,46.750000,46.750000,453150392
2020-03-04,46.939999,48.410000,27.340000,31.129999,31.129999,16473789
2020-03-11,34.619999,36.349998,26.629999,28.700001,28.700001,339130897
2020-03-18,27.299999,28.490000,20.520000,24.549999,24.549999,716335719
2020-03-25,24.830000,25.070000,19.270000,20.280001,20.280001,1436036480
2020-04-01,20.549999,29.129999,19.900000,26.080000,26.080000,1568433555
2020-04-08,24.920000,28.360001,19.950001,20.860001,20.860001,1308801098
2020-04-15,20.610001,20.620001,-39.439999,9.060000,9.060000,570716036
2020-04-22,13.120000,18.260000,10.070000,13.400000,13.400000,1327464386
2020-04-29,13.350000,26.080000,12.670000,25.790001,25.790001,171611764
2020-05-06,24.430000,26.740000,22.580000,25.230000,25.230000,497233949
2020-05-13,25.590000,33.439999,24.790001,32.360001,32.360001,140196747
2020-05-20,31.670000,34.810001,31.320000,34.029999,34.029999,885268659
2020-05-27,34.200001,37.380001,31.139999,37.259998,37.259998,855776028
2020-06-03,37.549999,40.439999,35.880001,38.389999,38.389999,871759266
2020-06-10,38.189999,39.910000,34.360001,37.810001,37.810001,826165848
2020-06-17,37.299999,40.490002,37.270000,39.430000,39.430000,153715595
